id,date,time,zone,currency,importance,event,actual,forecast,previous,datetime_utc,actual_num,forecast_num,previous_num
471386,01/01/2020,20:30,united states,USD,medium,Fed's Balance Sheet,"4,173.63B",,"4,165.59B",2020-01-01 20:30:00+00:00,4173630000000.0,,4165590000000.0
399118,02/01/2020,13:30,united states,USD,medium,Continuing Jobless Claims,"1,728K","1,717K","1,723K",2020-01-02 13:30:00+00:00,1728000.0,1717000.0,1723000.0
399117,02/01/2020,13:30,united states,USD,high,Initial Jobless Claims,222K,225K,224K,2020-01-02 13:30:00+00:00,222000.0,225000.0,224000.0
399269,03/01/2020,07:00,united kingdom,GBP,medium,Nationwide HPI (MoM)  (Dec),0.1%,0.0%,0.5%,2020-01-03 07:00:00+00:00,0.1,0.0,0.5
399272,03/01/2020,07:00,united kingdom,GBP,medium,Nationwide HPI (YoY)  (Dec),1.4%,1.4%,0.8%,2020-01-03 07:00:00+00:00,1.4,1.4,0.8
399045,03/01/2020,07:45,france,EUR,medium,French CPI (MoM),1.0%,,0.1%,2020-01-03 07:45:00+00:00,1.0,,0.1
399141,03/01/2020,07:45,france,EUR,medium,French HICP (MoM),0.5%,,0.1%,2020-01-03 07:45:00+00:00,0.5,,0.1
398854,03/01/2020,08:00,united kingdom,GBP,medium,Nationwide HPI (MoM)  (Dec),0.1%,0.0%,0.5%,2020-01-03 08:00:00+00:00,0.1,0.0,0.5
398853,03/01/2020,08:00,united kingdom,GBP,medium,Nationwide HPI (YoY)  (Dec),1.4%,1.4%,0.8%,2020-01-03 08:00:00+00:00,1.4,1.4,0.8
399047,03/01/2020,08:00,spain,EUR,medium,Spanish Unemployment Change,-34.6K,,20.5K,2020-01-03 08:00:00+00:00,-34600.0,,20500.0
398529,03/01/2020,08:30,switzerland,CHF,medium,procure.ch Manufacturing PMI  (Dec),50.2,49.1,48.8,2020-01-03 08:30:00+00:00,50.2,49.1,48.8
398419,03/01/2020,08:55,germany,EUR,medium,German Unemployment Rate  (Dec),5.0%,5.0%,5.0%,2020-01-03 08:55:00+00:00,5.0,5.0,5.0
398422,03/01/2020,08:55,germany,EUR,medium,German Unemployment Change  (Dec),8K,2K,-16K,2020-01-03 08:55:00+00:00,8000.0,2000.0,-16000.0
398438,03/01/2020,13:00,germany,EUR,high,German CPI (MoM)  (Dec),0.5%,0.4%,-0.8%,2020-01-03 13:00:00+00:00,0.5,0.4,-0.8
398440,03/01/2020,13:00,germany,EUR,medium,German CPI (YoY)  (Dec),1.5%,1.4%,1.1%,2020-01-03 13:00:00+00:00,1.5,1.4,1.1
404606,03/01/2020,13:30,united states,USD,medium,Seevol Cushing Storage Report,-0.980M,,-2.330M,2020-01-03 13:30:00+00:00,-980000.0,,-2330000.0
398447,03/01/2020,15:00,united states,USD,medium,Construction Spending (MoM)  (Nov),0.6%,0.3%,0.1%,2020-01-03 15:00:00+00:00,0.6,0.3,0.1
